PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,163314321,51050339,CCN(CC)CC(=O)NCC1=CC(=NO1)C2=CC(=CC=C2)OC,Active,,,,10,IC50,=,10000,nM,
2,163314321,51050339,CCN(CC)CC(=O)NCC1=CC(=NO1)C2=CC(=CC=C2)OC,Unspecified,,,Potential missing data,,Inhibition,,,%,Dose-dependent effect
3,163315740,1480148,CCN(CC)CC(=O)NCC1=CC(=NO1)C2=CC=C(C=C2)OC,Unspecified,,,Potential missing data,,Inhibition,,,%,Dose-dependent effect
4,163315740,1480148,CCN(CC)CC(=O)NCC1=CC(=NO1)C2=CC=C(C=C2)OC,Unspecified,,,,30,IC50,=,30000,nM,
5,163317776,51039202,CCN(CC)CC(=O)NCC1=CN(N=N1)C2=C(C=C(C=C2Br)Br)Br,Active,,,,5,IC50,=,5000,nM,
6,163317776,51039202,CCN(CC)CC(=O)NCC1=CN(N=N1)C2=C(C=C(C=C2Br)Br)Br,Unspecified,,,Potential missing data,,Inhibition,,,%,Dose-dependent effect
7,163328067,51039200,CCN(CC)CC(=O)NCC1=CC(=NO1)C2=CC=C(C=C2)I,Active,,,,2.5,IC50,=,2500,nM,
8,163328067,51039200,CCN(CC)CC(=O)NCC1=CC(=NO1)C2=CC=C(C=C2)I,Unspecified,,,Potential missing data,,Inhibition,,,%,Dose-dependent effect
9,163331597,51039201,CCN(CC)CC(=O)NCC1=CN(N=N1)C2=CC=C(C=C2)I,Active,,,,5,IC50,=,5000,nM,
10,163331597,51039201,CCN(CC)CC(=O)NCC1=CN(N=N1)C2=CC=C(C=C2)I,Unspecified,,,Potential missing data,,Inhibition,,,%,Dose-dependent effect
