PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,103680707,45267084,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4CCCC4)CC5=CN=C(N=C5N)N,Unspecified,,,,22,IC50,>,22000,nM,,
2,103682414,45267934,CCCC1C2=CC=CC=C2C=NN1C(=O)/C=C/C3=C(C(=CC(=C3)CC4=CN=C(N=C4N)N)O)OC,Unspecified,,,,110,IC50,=,110000,nM,,Outside typical range
3,103682421,45267939,CCC1C2=CC=CC=C2C=NN1C(=O)/C=C/C3=C(C(=CC(=C3)CC4=CN=C(N=C4N)N)OC)OC,Unspecified,,,,27,IC50,>,27000,nM,,
4,103684117,45268817,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4=CC=CC=C4)CC5=CN=C(N=C5N)N,Unspecified,,,,16,IC50,>,16000,nM,,
5,103685872,45269661,CCCCC1C2=CC=CC=C2C=NN1C(=O)/C=C/C3=C(C(=CC(=C3)CC4=CN=C(N=C4N)N)OC)OC,Unspecified,,,,20,IC50,>,20000,nM,,
6,103685880,45269665,COC1=CC(=CC(=C1O)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4=CC=C(C=C4)CO)CC5=CN=C(N=C5N)N,Unspecified,,,,24,IC50,>,24000,nM,,
7,103687683,45270497,CC1C2=CC=CC=C2C=NN1C(=O)CCC3=C(C(=CC(=C3)CC4=CN=C(N=C4N)N)OC)OC,Unspecified,,,,28,IC50,>,28000,nM,,
8,103687695,45270501,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4CCCCC4)CC5=CN=C(N=C5N)N,Unspecified,,,,19,IC50,>,19000,nM,,
9,103687701,45270504,COC1=CC(=CC(=C1OCCN2CCOCC2)/C=C/C(=O)N3C(C4=CC=CC=C4C=N3)C5=CC=CC=C5)CC6=CN=C(N=C6N)N,Unspecified,,,,21,IC50,>,21000,nM,,
10,103689369,45271328,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)CCCO)CC4=CN=C(N=C4N)N,Unspecified,,,,25,IC50,>,25000,nM,,
11,103689371,45271331,CC1=CC=C(C=C1)C2C3=CC=CC=C3C=NN2C(=O)/C=C/C4=C(C(=CC(=C4)CC5=CN=C(N=C5N)N)OC)OC,Unspecified,,,,19,IC50,>,19000,nM,,
12,103689372,45271332,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4=CN=C(N=C4OC)OC)CC5=CN=C(N=C5N)N,Unspecified,,,,22,IC50,>,22000,nM,,
13,103691111,45272213,CC(C)(C1C2=CC=CC=C2C=NN1C(=O)/C=C/C3=C(C(=CC(=C3)CC4=CN=C(N=C4N)N)OC)OC)C(=O)OC,Unspecified,,,,813,IC50,=,813000,nM,,Outside typical range
14,103692920,17897164,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2CC3=CC=CC=C3C=N2)CC4=CN=C(N=C4N)N,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined,
15,103692936,45273072,COC1=CC(=CC(=C1OC)/C=C/C(=O)N2C(C3=CC=CC=C3C=N2)C4=CC=C(C=C4)CO)CC5=CN=C(N=C5N)N,Unspecified,,,,23,IC50,>,23000,nM,,
16,103692937,45273073,CN(C)CC1=CC=CC=C1C2C3=CC=CC=C3C=NN2C(=O)/C=C/C4=C(C(=CC(=C4)CC5=CN=C(N=C5N)N)OC)OC,Unspecified,,,,42,IC50,>,42000,nM,,
