Canonical_SMILES,Drug_Type,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,antibiotic,5.385018658063965,1.1407307016748276,3.1491864827813028,7.620850833346626,4.120798150346988e-06,2.3941379271523053e-08,0.0007092731460171599
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,antibiotic,5.385018658063965,1.1407307016748276,3.1491864827813028,7.620850833346626,4.120798150346988e-06,2.3941379271523053e-08,0.0007092731460171599
CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,antibiotic,5.347637893185141,1.1430410701803686,3.1072773956316184,7.5879983907386634,4.491197016769012e-06,2.5822697591171765e-08,0.0007811287171767385
C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,antibiotic,5.339056360634691,1.1416044339427964,3.1015116701068104,7.576601051162572,4.580824351368847e-06,2.6509342047873074e-08,0.0007915681837821177
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,antibiotic,5.316573584275929,1.1418580442056958,3.0785318176327654,7.554615350919093,4.8242123454779685e-06,2.7885898936949316e-08,0.0008345804023346309
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,antibiotic,5.292256786819916,1.1404690948536593,3.0569373609067436,7.527576212733088,5.10203241115258e-06,2.9677259025170926e-08,0.0008771273217103145
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,antibiotic,5.2794904574383725,1.140408915391744,3.044288983270554,7.51469193160619,5.254235598840201e-06,3.057088901556955e-08,0.0009030483776268207
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,antibiotic,5.276057029103825,1.1411704371618225,3.0393629722666526,7.512751085940997,5.295938960396281e-06,3.0707814896363286e-08,0.0009133495680789986
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,antibiotic,5.273624170094713,1.1425334482234153,3.0342586115768193,7.512989728612608,5.325689345926747e-06,3.069094573901329e-08,0.000924147703055745
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,antibiotic,5.196957968118294,1.1468923731076466,2.949048916827307,7.444867019409282,6.35392423415571e-06,3.5903185305524205e-08,0.0011244783110422065
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,antibiotic,5.164733010996025,1.1399839083207202,2.930364550687414,7.399101471304637,6.8433222142111565e-06,3.98931682555397e-08,0.0011739117491881023
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,antibiotic,5.089368728290551,1.1517047456289182,2.8320274268578713,7.34671002972323,8.140128706122335e-06,4.500802647408959e-08,0.0014722195248970265
C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,antibiotic,5.054334527079087,1.1487631461636558,2.8027587605983215,7.305910293559853,8.823999461344738e-06,4.9441280072273684e-08,0.001574857414290071
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,antibiotic,4.974858752619938,1.1414974368427795,2.73752377640809,7.212193728831786,1.0595982866502549e-05,6.134882810326457e-08,0.001830105910388875
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,antibiotic,4.924888762192694,1.143059551622208,2.6844920410131663,7.165285483372221,1.188806682869962e-05,6.834622258558758e-08,0.0020677972765305442
N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,antibiotic,4.912744000123994,1.1438517053343504,2.6707946576686674,7.154693342579321,1.2225200763311106e-05,7.003363323048293e-08,0.0021340536940501055
Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(O)C4)c(Cl)c32)c(F)cc1F,antibiotic,4.9085071185222,1.1413884242525785,2.6713858069871463,7.145628430057254,1.234505080228255e-05,7.151078902866125e-08,0.0021311508568288284
C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12,antibiotic,4.847601065703497,1.142720032075238,2.6078698028360305,7.087332328570963,1.4203616386566807e-05,8.17838726321037e-08,0.002466778742115428
CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,antibiotic,4.810815739841763,1.1439871880779378,2.568600851209005,7.05303062847452,1.5459101909918037e-05,8.85053189546668e-08,0.002700219994502719
CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,antibiotic,4.7120907919041155,1.139996386156064,2.47769787503823,6.9464837087700015,1.94048016599953e-05,1.1311398197907069e-07,0.003328910545589561
CCC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCN)NC1=O)[C@@H](C)O,antibiotic,4.690500694893046,1.14186068714347,2.452453748091845,6.928547641694248,2.039385396486646e-05,1.1788331992626173e-07,0.0035281435897840194
