Name	Reactants	SMARTS	Products	Comments
rule0001_01	Any;Any	[#6;$([#6&R]1(-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]2-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@2-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]2:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@2=&!@[#8&!R])=&!@[#8&!R])-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R])=&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]):1]-[#8;$([#8&!R](-[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R])=&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R])-[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R]):2].[#8;$([#8&!R]-[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#8&!R])-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R]):3]>>[#6:1]-[#8:3].[#8:2]	Any;Any	P97259;P97402;Q08834;Q09328;Q16408;Q3V5L5;Q765H6;Q8N0V5;Q8R4G6;Q9NDH7
rule0001_02	Any;Any	[#6;$([#6&R]1(-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]2-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@2-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]2:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@2=&!@[#8&!R])=&!@[#8&!R])-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R])=&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]):1]-[#8;$([#8&!R](-[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R])=&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R])-[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R]):2].[#8;$([#8&!R]-[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#8&!R])-&@[#6&R]-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R]);!$([#8&!R]-[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#8&!R])-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R]):3]>>[#6:1]-[#8:3].[#8:2]	Any;Any	A0K8D0;A0KHH6;A0KZ10;A0L8R9;A0Q7X9;A1A7M6;A1K6Q8;A1KRN0;A1RLL4;A1S4Q3;A1SYV0;A1V555;A1WHV5;A2C745;A2SB86;A3MKS9;A3MY79;A3NAT4;A3NWL7;A3QG90;A4IWJ7;A4JF62;A4W6S7;A4XWS8;A4Y556;A5F627;A5UD44;A5UII8;A5W837;A6T4Y4;A6V1E5;A7MY02;A7NAP6;A7ZHS2;A7ZWC8;A8ALA6;A8EZC6;A8FK76;A8FY29;A8GID3;A8GN02;A8GU85;A8H6K3;A9AIM7;A9INR9;A9KC41;A9MPH9;A9N0T2;A9NCA7;B0BRG6;B0KSB2;B0TP70;B0TXG8;B0U236;B0UW62;B1IQF9;B1JBP7;B1JUD7;B1KNT0;B1LGY4;B1XD51;B1YS61;B2I7N8;B2JIB3;B2SFX3;B2T5I1;B2U325;B2USW3;B2V704;B3E4H8;B3GZJ7;B3PBR1;B4ECL8;B4RVJ5;B4SV11;B4TK57;B4TYE2;B4UHR6;B5BAN9;B5F8U3;B5F9W3;B5FJ29;B5R421;B5RHG7;B5Y1I9;B5Z0G1;B5Z7M7;B6EJW7;B6HZF6;B6IST7;B6J161;B6J9H1;B6JM91;B7KFS1;B7LGP4;B7LW61;B7M1Y5;B7MBG3;B7MP42;B7N849;B7NIE4;B7UJ83;B7V7U5;B8E7Q3;B8F5I8;B8JE78;C0Q6K5;C0QR27;C1DST3;C1F718;C3K6G9;C3LQ19;C4ZRS4;C6DAJ6;E9Q649;F4IF99;O25537;O67420;O84416;P10441;P45011;P72216;Q02742;Q02AZ6;Q02RB5;Q085C9;Q09324;Q0A7J2;Q0BE28;Q0BN19;Q0BS63;Q0HGW8;Q0HT75;Q0I4M5;Q0T827;Q0TLF1;Q0VQE4;Q13XC9;Q14G55;Q17WJ2;Q1BHG9;Q1CT05;Q1D393;Q1H152;Q1I639;Q1INL4;Q1LNE5;Q1QMM4;Q1R020;Q1RG07;Q1RIC1;Q215D6;Q21HI5;Q21WX7;Q255P5;Q2A4P3;Q2IL69;Q2IW93;Q2L147;Q2LVL8;Q2NRM0;Q2P4B8;Q2SBR1;Q2SWY5;Q2W4D7;Q31G55;Q325V8;Q32JS7;Q39F56;Q39T49;Q3A550;Q3BVL7;Q3IIW8;Q3JAC1;Q3JR42;Q3KH99;Q3KLU2;Q3SKM8;Q3SRI5;Q3Z5H6;Q470F0;Q47F79;Q485F5;Q48F72;Q493B9;Q4KHG3;Q4QLM6;Q4UJN0;Q4USP7;Q4ZWR5;Q57310;Q57T26;Q5E3F2;Q5F5Y6;Q5FUA3;Q5H1F3;Q5HWH9;Q5L586;Q5LSU1;Q5NEQ2;Q5NZG2;Q5PD72;Q5QYW1;Q5WSK6;Q5WWX7;Q5X0T2;Q5X5J5;Q5ZRD7;Q5ZVR9;Q62JD7;Q63T25;Q65VI1;Q667K2;Q68X51;Q6ALW0;Q6D8D0;Q6FA07;Q6LN37;Q6N5R2;Q71SG7;Q74AT9;Q7MIH2;Q7N8N4;Q7NVY1;Q7V5X6;Q7VMW5;Q7VRD3;Q7VYB7;Q7WA47;Q7WJ81;Q821Z3;Q83DS5;Q83SL3;Q87EI5;Q87MF0;Q886N0;Q88MG7;Q89KQ7;Q8D2H4;Q8DBE8;Q8EGG2;Q8FL07;Q8PAW6;Q8PML8;Q8X8X7;Q8XZH8;Q8Z9A1;Q8ZH55;Q8ZRN9;Q92180;Q92II0;Q9CJK7;Q9HXY8;Q9JX45;Q9K1F5;Q9KPW5;Q9P109;Q9PEI6;Q9PIK8;Q9PJY4;Q9Z6U3;Q9ZDK7;Q9ZKY2
rule0001_03	Any;Any	[#6;$([#6&R]1(-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]2-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@2-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]2:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@2=&!@[#8&!R])=&!@[#8&!R])-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R])=&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]):1]-[#8;$([#8&!R](-[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R])=&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R])-[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R]):2].[#8;$([#8&!R]-[#6&R]1-&@[#6&R]-&@[#6&R](-&@[#8&R]-&@[#6&R](-&@[#6&R]-&@1)-&!@[#8&!R])-&!@[#6&!R]):3]>>[#6:1]-[#8:3].[#8:2]	Any;Any	P0DMP6;P0DMP7;P16442;Q15951;Q1RLK6;Q3USF0;Q5HZL5;Q5RAL7;Q5XJP0;Q6AY39;Q6DE15;Q6P3P5;Q6ZMB0;Q793U7;Q7T3S5;Q864U6;Q864U8;Q8BGY6;Q8VI38;Q8WXY5;Q8WXY6;Q920V1;Q95158;Q99NB2;Q9C0J1;Q9NY01;Q9P2W7;Q9UQ64;Q9Z222
rule0001_04	Any;Any	[#6;$([#6&R]1(-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]2-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@2-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]2:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@2=&!@[#8&!R])=&!@[#8&!R])-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R])=&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]):1]-[#8;$([#8&!R](-[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R])=&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R])-[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R]):2].[#8;$([#8&!R]-[#6&R]1-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@[#8&R]-&@[#6&R]-&@1)-&!@[#8&!R])-&!@[#8&!R]):3]>>[#6:1]-[#8:3].[#8:2]	Any;Any	A4IID1;O19071;O77836;P23336;P26572;P27115;P27808;Q00973;Q02527;Q09200;Q09325;Q09326;Q09327;Q10468;Q10469;Q10470;Q11068;Q21450;Q4R4A8;Q4R854;Q5F407;Q5M854;Q5REP8;Q5U3T0;Q6GMK0;Q6GQI7;Q6ITT3;Q812F8;Q812G0;Q8BJQ9;Q8C1F4;Q8N6G5;Q8NHY0;Q8TDX6;Q921V5;Q9D306;Q9DGD1;Q9GPA3;Q9JKV7;Q9UM21;Q9UQ53;Q9XGM8
rule0001_05	Any;Any	[#6;$([#6&R]1(-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]2-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@2-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]2:&@[#6&R]:&@[#7&R]:&@[#6&R]3:&@[#6&R]:&@2:&@[#7&R]:&@[#6&R]:&@[#7&R]:&@[#6&R]:&@3)-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R]):1]-[#8;$([#8&!R](-[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#7&R]:&@[#6&R]2:&@[#6&R]:&@1:&@[#7&R]:&@[#6&R]:&@[#7&R]:&@[#6&R]:&@2):2].[#8;$([#8&!R]-[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#8&!R])-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R]):3]>>[#6:1]-[#8:3].[#8:2]	Any;Any	
rule0001_06	Any;Any	[#6;$([#6&R]1(-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]2-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@2-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]2:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@2=&!@[#8&!R])=&!@[#8&!R])-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@[#6&R]-&@1-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R])=&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]);!$([#6&R]1(-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]2-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@2-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]2:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@2=&!@[#8&!R])=&!@[#8&!R])-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R])=&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R]):1]-[#8;$([#8&!R](-[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@[#6&R]-&@1-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R])=&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R])-[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R]);!$([#8&!R](-[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#7&!R]-&!@[#6&!R](-&!@[#6&!R])=&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-&!@[#6&!R]-&!@[#8&!R])-[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])=&!@[#8&!R]):2].[#8;$([#8&!R]-[#6&R]1-&@[#6&R]-&@[#6&R](-&@[#8&R]-&@[#6&R](-&@[#6&R]-&@1)-&!@[#8&!R])-&!@[#6&!R]):3]>>[#6:1]-[#8:3].[#8:2]	Any;Any	
rule0001_07	Any;Any	[#6;$([#6&R]1(-&!@[#8&!R]-&!@[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]2-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@2-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]2:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@2=&!@[#8&!R])-&!@[#7&!R])(=&!@[#8&!R])-&!@[#8&!R])(-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])-&@[#6&R]-&@[#6&R](-&!@[#8&!R])-&@[#6&R]-&@[#6&R](-&@[#8&R]-&@1)-&!@[#6&!R](-&!@[#8&!R])-&!@[#6&!R]):1]-[#8;$([#8&!R](-[#6&R]1(-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])-&@[#6&R]-&@[#6&R](-&!@[#8&!R])-&@[#6&R]-&@[#6&R](-&@[#8&R]-&@1)-&!@[#6&!R](-&!@[#8&!R])-&!@[#6&!R])-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])-&!@[#7&!R])(=&!@[#8&!R])-&!@[#8&!R]):2].[#8;$([#8&!R]-[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#8&!R])-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R]):3]>>[#6:1]-[#8:3].[#8:2]	Any;Any	A5D7T4;AKR1C2;P13721;Q5K027;Q5QQ37;Q64685;Q701R0;Q701R1;Q701R2;Q701R3;Q701R4;Q76K27;Q92182;Q96JF0
rule0001_08	Any;Any	[#6;$([#6&R]1(-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]2-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@2-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]2:&@[#6&R]:&@[#7&R]:&@[#6&R]3:&@[#6&R]:&@2:&@[#7&R]:&@[#6&R]:&@[#7&R]:&@[#6&R]:&@3)-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R]):1]-[#8;$([#8&!R](-[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#7&R]:&@[#6&R]2:&@[#6&R]:&@1:&@[#7&R]:&@[#6&R]:&@[#7&R]:&@[#6&R]:&@2):2].[#8;$([#8&!R]-[#6&R]1-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@[#8&R]-&@[#6&R]-&@1)-&!@[#8&!R])-&!@[#8&!R]):3]>>[#6:1]-[#8:3].[#8:2]	Any;Any	O09160;O77485;O77486;O77487;P19526;P97353;Q10979;Q10980;Q10981;Q10982;Q10983;Q10984;Q28113;Q29043;Q54QG0;Q5J7C6;Q5JBG3;Q6XQ53;Q866C5;Q866C7;Q866C9;Q866D2;Q866D6;Q866D9;Q866E1;Q866E4;Q866E6;Q866E7;Q866E8;Q866F0;Q866F1;Q9JL27;Q9M5Q1;Q9SWH5;Q9TTC7;Q9TUD4;Q9TUD6
rule0001_09	Any;Any	[#6;$([#6&R]1(-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]2-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@2-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]2:&@[#6&R]:&@[#7&R]:&@[#6&R]3:&@[#6&R]:&@2:&@[#7&R]:&@[#6&R]:&@[#7&R]:&@[#6&R]:&@3)-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R]):1]-[#8;$([#8&!R](-[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#6&!R])-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R])-[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#15&!R](=&!@[#8&!R])(-&!@[#8&!R])-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#7&R]:&@[#6&R]2:&@[#6&R]:&@1:&@[#7&R]:&@[#6&R]:&@[#7&R]:&@[#6&R]:&@2):2].[#8;$([#8&!R]-[#6&R]1-&@[#6&R]-&@[#6&R](-&@[#8&R]-&@[#6&R](-&@[#6&R]-&@1)-&!@[#8&!R])-&!@[#6&!R]):3]>>[#6:1]-[#8:3].[#8:2]	Any;Any	A1XCQ0;AKR1C2;O25366;O30511;P21217;P51993;Q11128;Q11130;Q712G6;Q9L8S4;Q9Y231
rule0001_10	Any;Any	[#6;$([#6&R]1(-&!@[#8&!R]-&!@[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]2-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@2-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]2:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@2=&!@[#8&!R])-&!@[#7&!R])(=&!@[#8&!R])-&!@[#8&!R])(-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])-&@[#6&R]-&@[#6&R](-&!@[#8&!R])-&@[#6&R]-&@[#6&R](-&@[#8&R]-&@1)-&!@[#6&!R](-&!@[#8&!R])-&!@[#6&!R]):1]-[#8;$([#8&!R](-[#6&R]1(-&!@[#6&!R](=&!@[#8&!R])-&!@[#8&!R])-&@[#6&R]-&@[#6&R](-&!@[#8&!R])-&@[#6&R]-&@[#6&R](-&@[#8&R]-&@1)-&!@[#6&!R](-&!@[#8&!R])-&!@[#6&!R])-[#15&!R](-&!@[#8&!R]-&!@[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#7&R]1:&@[#6&R]:&@[#6&R]:&@[#6&R](:&@[#7&R]:&@[#6&R]:&@1=&!@[#8&!R])-&!@[#7&!R])(=&!@[#8&!R])-&!@[#8&!R]):2].[#8;$([#8&!R]-[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#8&!R])-&@[#6&R]-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R]);!$([#8&!R]-[#6&!R]-&!@[#6&R]1-&@[#8&R]-&@[#6&R](-&!@[#8&!R])-&@[#6&R](-&@[#6&R](-&@[#6&R]-&@1-&!@[#8&!R])-&!@[#8&!R])-&!@[#8&!R]):3]>>[#6:1]-[#8:3].[#8:2]	Any;Any	A5D7T4;O66663;P0AC75;P13721;P44806;Q1RGU8;Q45374;Q4UND5;Q5K027;Q5QQ37;Q64685;Q68XV7;Q701R0;Q701R1;Q701R2;Q701R3;Q701R4;Q76K27;Q8VZA5;Q92182;Q92183;Q96JF0;Q9QZ39;Q9R2B6;Q9ZE58
