PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50,% Inhibition @ 50 uM Rep 1,% Inhibition @ 25 uM Rep 1,% Inhibition @ 12.5 uM Rep 1,% Inhibition @ 6.25 uM Rep 1,% Inhibition @ 5 uM Rep 1,% Inhibition @ 3.13 uM Rep 1,% Inhibition @ 2.5 uM Rep 1,% Inhibition @ 1.56 uM Rep 1,% Inhibition @ 1.25 uM Rep 1,% Inhibition @ 0.78 uM Rep 1,% Inhibition @ 0.63 uM Rep 1,% Inhibition @ 0.39 uM Rep 1,% Inhibition @ 0.31 uM Rep 1,% Inhibition @ 0.156 uM Rep 1,% Inhibition @ 0.078 uM Rep 1,% Inhibition @ 0.039 uM Rep 1,% Inhibition @ 25 uM Rep 2,% Inhibition @ 12.5 uM Rep 2,% Inhibition @ 6.25 uM Rep 2,% Inhibition @ 5 uM Rep 2,% Inhibition @ 3.13 uM Rep 2,% Inhibition @ 2.5 uM Rep 2,% Inhibition @ 1.56 uM Rep 2,% Inhibition @ 1.25 uM Rep 2,% Inhibition @ 0.78 uM Rep 2,% Inhibition @ 0.63 uM Rep 2,% Inhibition @ 0.39 uM Rep 2,% Inhibition @ 0.31 uM Rep 2,% Inhibition @ 0.195 uM Rep 2,% Inhibition @ 0.156 uM Rep 2,% Inhibition @ 0.078 uM Rep 2,% Inhibition @ 0.039 uM Rep 2,% Inhibition @ 0.02 uM Rep 2,% Inhibition @ 0.01 uM Rep 2,% Inhibition @ 0.005 uM Rep 2,Verification
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_UNIT,,,,,,,,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,50,25,12.5,6.25,5,3.13,2.5,1.56,1.25,0.78,0.63,0.39,0.31,0.156,0.078,0.039,25,12.5,6.25,5,3.13,2.5,1.56,1.25,0.78,0.63,0.39,0.31,0.195,0.156,0.078,0.039,0.02,0.01,0.005,
1,144108867,15997213,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Inactive,0,,,,-0.8,1.8,0.9,-0.4,,2.1,,-0.3,,-1.9,,1,,,,,1.6,-1.3,-1.6,,-1.2,,-0.8,,-1.8,,-1.4,,6.9,,,,,,,Verified
2,144087340,71301451,CN1CCN(C(=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=CC=C3)C1)C,Inactive,0,,,,-3.1,0,-0.3,0.2,-2.2,0.4,-0.6,-1.1,0.3,0,-0.6,1.1,1.1,-1.5,2,0.9,,,,-0.9,,-1.2,,-1.6,,-1.3,,-1.75,,-1.3,-1.65,-0.2,-0.9,-0.1,3.1,Verified
3,144186566,60182258,CCN1CCN(CC1)C2C3=C(C=CC=N3)C(=O)N2C4=CC=CC=C4,Inactive,0,,,,-1.8,1.3,-2.1,-1.2,,0.9,,0.1,,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,Verified
4,144186567,60182256,C1CN(CCN1)CC2=NC3=CC(=C(C=C3C(=O)N2C4=CC=CC=C4)F)F,Inactive,0,,,,-1,0.5,0.3,-0.2,-3.2,-0.2,-0.9,-0.1,0.5,-0.1,-0.8,0.3,-0.9,-0.5,2,3.3,,,,,,,,,,,,,,,,,,,,Verified
5,144186568,60182259,C1CNCN(C1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4,Inactive,0,,,,-0.2,0.3,-0.1,-0.8,-2.8,-1.2,-0.1,0,-0.5,1.5,-1.1,1.1,0.5,-0.2,2.4,0.8,,,,,,,,,,,,,,,,,,,,Verified
6,144186569,60182255,C1CNCCN(C1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4,Inactive,0,,,,-3.1,0.1,-0.7,-1.2,-3.1,-2.3,0.8,-0.7,1.7,1.9,-0.9,-0.1,4.2,1.3,2.2,2.1,,,,,,,,,,,,,,,,,,,,Verified
7,144220810,60202186,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)C4=CC=CC=N4)C(=O)N2C5=CC=CC=C5,Inactive,0,,,,4.3,2.6,-1.4,0.9,,-1.2,,0.2,,-1.8,,0.4,,,,,,,,,,,,,,,,,,,,,,,,Verified
8,144220811,71301445,CN1CCN(C(=NC2=C(C=C(C=C2)C#N)C(=O)NC3=CC=CC=C3)C1)C,Inactive,0,,,,3,3.9,-1.5,-0.2,,-0.9,,-1.1,,-2.1,,-1,,,,,,,,,,,,,,,,,,,,,,,,Verified
9,144220812,60202185,CN(C1=CC=C(C=C1)OCC2=CC=CC=C2)C3=NC(=O)C4=C(S3)N=CC=C4,Active,81,,,1.72,76.5,73.7,76.4,72.4,,74.9,,56.6,,26,,9.4,,,,,,,,,,,,,,,,,,,,,,,,Verified
10,144220813,71301450,CN1CCN(C(=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=C(C=C3)OC)C1)C,Inactive,0,,,,2.2,0.1,-1.8,-0.7,,-1.4,,-1.1,,-2,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,Verified
11,144220814,71301444,CN1CCN(C(=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=CC=C3F)C1)C,Inactive,0,,,,8.6,-1.8,-1.7,-2.2,,-1.3,,-1.4,,-2,,0.2,,,,,,,,,,,,,,,,,,,,,,,,Verified
12,144220815,941565,COC1=CC=C(C=C1)NC2=NC(=O)C3=C(S2)N=CC=C3,Inactive,0,,,,11.7,-0.7,-2.4,-2.4,,-0.6,,-1.7,,-1.9,,-1,,,,,,,,,,,,,,,,,,,,,,,,Verified
13,144220816,60202187,COC1=CC=C(C=C1)CNC2=NC(=O)C3=C(S2)N=CC=C3,Inactive,0,,,,0.1,-1.9,-1.8,-1.8,,-1.5,,-1.2,,-1.8,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,Verified
