PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103554208,11552904,C1=CC(=CC=C1C2=NC3=C(N2O)C=C(C=C3)[N+](=O)[O-])NC(=O)C4=CC=C(C=C4)F,Unspecified,,,,17.7,IC50,=,17700,nM
2,103697643,11503008,C1=CC(=CC=C1C2=NC3=C(N2O)C=C(C=C3)[N+](=O)[O-])NC(=O)/C=C/C4=C(C=C(C=C4)F)F,Active,,,,5,IC50,=,5000,nM
3,103697651,11495149,C1=CC(=CC=C1CNC(=O)C2=CC=C(C=C2)F)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-],Unspecified,,,,58.4,IC50,>,58400,nM
4,103697652,11711182,C1=CC(=CC=C1CC(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])F,Unspecified,,,,58.4,IC50,>,58400,nM
5,103697653,11655020,C1=CC(=CC=C1C2=NC3=C(N2O)C=C(C=C3)[N+](=O)[O-])NC(=O)/C=C/C4=CC(=C(C=C4)F)F,Unspecified,,,,14.5,IC50,=,14500,nM
6,103697654,25060594,C1=CC(=CC=C1/C=C/C(=O)NC2=NC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])F,Active,,,,7.4,IC50,=,7400,nM
7,103697660,11711564,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])C#N,Unspecified,,,,16.4,IC50,=,16400,nM
8,103697661,25060595,C1=CC(=CC=C1/C=C/C(=O)NC2=CN=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])F,Unspecified,,,,10.8,IC50,=,10800,nM
9,103697662,25062407,C1=CC(=CC=C1/C=C/C(=O)NC2=C(C=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])F)F,Unspecified,,,,20.7,IC50,=,20700,nM
10,103697673,11596790,CC1=CC=C(C=C1)/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-],Active,,,,0.8,IC50,=,800,nM
11,103697674,11711663,COC1=CC=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-],Unspecified,,,,20.9,IC50,=,20900,nM
12,103697680,11568166,COC1=CC=C(C=C1)/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-],Active,,,,8,IC50,=,8000,nM
13,103697681,11576379,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])C(F)(F)F,Active,,,,6.4,IC50,=,6400,nM
14,103697682,25062404,C1=CC(=CC=C1/C=C/C(=O)NC2=CC(=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])F)F,Active,,,,6.5,IC50,=,6500,nM
15,103697691,25062136,COC1=CC(=C(C=C1)/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])OC,Unspecified,,,,38.5,IC50,=,38500,nM
16,103697692,25062670,CC1=C(C=CC(=C1)C2=NC3=C(N2O)C=C(C=C3)[N+](=O)[O-])NC(=O)/C=C/C4=CC=C(C=C4)F,Unspecified,,,,25.3,IC50,=,25300,nM
17,103697707,11711450,C1=CC(=CC=C1CCC(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])F,Unspecified,,,,53.5,IC50,>,53500,nM
18,103697708,11718665,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])F,Active,,,,3.9,IC50,=,3900,nM
19,103697709,25062936,COC1=C(C=CC(=C1)NC(=O)/C=C/C2=CC=C(C=C2)F)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-],Unspecified,,,,13.5,IC50,=,13500,nM
20,103697715,25062671,CC1=CC2=C(C=C1[N+](=O)[O-])N(C(=N2)C3=CC=C(C=C3)NC(=O)/C=C/C4=CC=C(C=C4)F)O,Active,,,,7.6,IC50,=,7600,nM
21,103697722,25062134,CC(C)C1=CC=C(C=C1)/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-],Unspecified,,,,50.9,IC50,>,50900,nM
22,103697723,11719200,CN(C)C1=CC=C(C=C1)/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-],Unspecified,,,,16.9,IC50,=,16900,nM
23,103697748,11582838,C1=CC(=CC=C1CNC(=O)/C=C/C2=CC=C(C=C2)F)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-],Unspecified,,,,14,IC50,=,14000,nM
24,103697758,45483048,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])N5C=NN=C5,Unspecified,,,,35.7,IC50,=,35700,nM
25,103697759,25059286,CCOC1=C(C=C2C(=C1)N=C(N2O)C3=CC=C(C=C3)NC(=O)/C=C/C4=CC=C(C=C4)F)[N+](=O)[O-],Unspecified,,,,17.1,IC50,=,17100,nM
26,103697760,25059540,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=CC(=C(C=C4N3O)[N+](=O)[O-])F)F,Unspecified,,,,26.6,IC50,=,26600,nM
27,103697770,11596466,C1=CC=C(C=C1)/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-],Active,,,,6.9,IC50,=,6900,nM
28,103697776,45483057,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])C5=CN=CN5,Unspecified,,,,44.8,IC50,>,44800,nM
29,103697777,11718624,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])O,Unspecified,,,,57,IC50,>,57000,nM
30,103697791,44254767,CC(=O)C1=CC2=C(C=C1)N=C(N2O)C3=CC=C(C=C3)NC(=O)/C=C/C4=CC=C(C=C4)F,Unspecified,,,,39.4,IC50,=,39400,nM
31,103697802,44254768,CS(=O)(=O)C1=CC2=C(C=C1)N=C(N2O)C3=CC=C(C=C3)NC(=O)/C=C/C4=CC=C(C=C4)F,Unspecified,,,,87.4,IC50,=,87400,nM
32,103697816,25059539,CN(C)C1=C(C=C2C(=C1)N=C(N2O)C3=CC=C(C=C3)NC(=O)/C=C/C4=CC=C(C=C4)F)[N+](=O)[O-],Unspecified,,,,66,IC50,=,66000,nM
33,103697832,44254670,C1=CC=C2C(=C1)N=C(N2O)C3=CC=C(C=C3)NC(=O)/C=C/C4=CC=C(C=C4)F,Unspecified,,,,100,IC50,>,100000,nM
34,103697845,25061356,C1=CN(N=C1)C2=CC3=C(C=C2)N=C(N3O)C4=CC=C(C=C4)NC(=O)/C=C/C5=CC=C(C=C5)F,Unspecified,,,,53.7,IC50,=,53700,nM
35,103697858,25061606,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)N5C=CN=C5)F,Unspecified,,,,37.3,IC50,=,37300,nM
36,103697859,44254764,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)C(=O)O)F,Unspecified,,,,38.5,IC50,=,38500,nM
37,103697926,25062406,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=NC=C4)F,Unspecified,,,,54.8,IC50,>,54800,nM
38,103697927,44254763,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)F)F,Unspecified,,,,100,IC50,>,100000,nM
39,103697934,25061863,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)C#N)F,Active,,,,8.3,IC50,=,8300,nM
40,103697940,44254765,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)Cl)F,Unspecified,,,,100,IC50,>,100000,nM
41,103697941,44254766,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)C(F)(F)F)F,Unspecified,,,,59.7,IC50,=,59700,nM
